entityid,codigo,nombreplantafisica,regional,distrito,provincia,municipio,distritomunicipal,seccionmunicipal,barrios,direccion,latitud,longitud,cantidadcentros,matriculamatutina,matriculavespertina,matriculanocturna,matriculacompleta,matriculasemipre
55a083cc-092d-438f-bb1f-ed51c4cb2596,23012615,BATEY COPEYITO,05-SAN PEDRO DE MACORIS,0507-SAN JOSE DE LOS LLANOS,SAN PEDRO DE MACORIS,LOS LLANOS,LOS LLANOS,EL GUAYABAL,BATEY COPEYITO,BATEY CO BATEY COPEYITO,18.573619999999998,-69.493206000000001,2,90,89,70,,
f73c329a-cb09-4e13-b74f-7ae48ef501b3,11010610,BATEY CUYA,12-HIGUEY,1202-SAN RAFAEL DEL YUMA,LA ALTAGRACIA,HIG�EY,HIG�EY,MATA CHALUPE,BATEY CUYA,BATEY CU BATEY CUYA,18.518984179556302,-68.817393779754639,1,77,46,,,
424442d8-211c-4478-86a8-35a66ccf1c36,30002510,BATEY DONA ANA,05-SAN PEDRO DE MACORIS,0504-HATO MAYOR,HATO MAYOR,HATO MAYOR,HATO MAYOR,DON L�PEZ,BATEY DO�A ANA,BATEY DO BATEY DO�A ANA,18.68095487049726,-69.418806731700897,1,33,10,,,
8df59f06-470c-4e20-84ca-bdd4c17170f7,24014519,BATEY DONA MARIA,16-COTUI,1603-CEVICOS,SANCHEZ RAMIREZ,CEVICOS,CEVICOS,ABADESA,BATEY DO�A MAR�A,BATEY DO BATEY DO�A MARIA,18.959725383766528,-69.937570095062256,1,3,12,,,
e4c7f563-4277-4455-909b-3c6d15701cea,23021116,BATEY DON JUAN,05-SAN PEDRO DE MACORIS,0506-CONSUELO,SAN PEDRO DE MACORIS,CONSUELO,CONSUELO,LAS CALLAS,BATEY DON JUAN,BATEY DO BATEY DON JUAN,18.539164233841205,-69.296291470527649,1,203,175,,,
3c534036-68d6-4b2b-ab47-8cd0e02274f3,23009718,BATEY DOS,05-SAN PEDRO DE MACORIS,0508-QUISQUEYA,SAN PEDRO DE MACORIS,GUAYACANES,GUAYACANES,LA PUNTA,BATEY DOS,CARRET.  BATEY DOS,18.491592973267281,-69.364601969718933,1,36,31,,,
3f46cbca-5f53-4113-b055-03aba067b1e2,27013310,BATEY DUARTE,09-MAO,0902-ESPERANZA,VALVERDE,ESPERANZA,ESPERANZA,ESPERANZA (ZONA URBANA),NUEVO,INVI- CE BATEY DUARTE,19.586704974097284,-70.990109145641327,1,73,74,,,
cf1e4d2e-6044-4b30-b631-617c984e6641,8004715,BATEY EL 28,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,EL SEIBO,CAMPI�A,BATEY EL 28,BATEY EL BATEY EL 28,18.636201147374425,-68.998831808567047,1,26,30,,,
bda4fe98-637b-457a-a95a-64e1cb9febf3,29019712,BATEY EL CA�O,17-MONTE PLATA,1701-YAMASA,MONTE PLATA,YAMAS�,YAMAS�,LOS JOBILLOS,BATEY EL CA�O,BATEY EL BATEY EL CA�O,18.786552259248747,-69.956986606121063,1,40,19,,,
2a042c81-6bcb-4e7d-a43a-4040de1367ce,23017318,BATEY EL JAGUAL,05-SAN PEDRO DE MACORIS,0501-SAN PEDRO DE MACORIS ESTE,SAN PEDRO DE MACORIS,RAM�N SANTANA,RAM�N SANTANA,JAGUAL,BATEY JAGUAL,BATEY JA BATEY EL JAGUAL,18.476711523569865,-69.159002602100372,1,49,74,,,
44f81fa0-abf9-4c90-9244-978ffa60d0f0,8011810,BATEY EL SALADO,12-HIGUEY,1203-EL SEIBO,EL SEIBO,EL SEIBO,SANTA LUC�A (D. M.),EL PINTADO,EL SALAO O EL SALADO,BATEY EL BATEY EL SALADO,18.693620791765827,-69.01375025510788,1,25,25,,,
